"Facility","Longitude","Latitude"
Bulandzeni Clinic,-26.06114,31.46719
Herefords Clinic,-25.91718,31.4756
Horo Clinic,-25.75833,31.41413
Maguga Clinic,-26.07466,31.26676
Malandzela Nazarene Clinic,-26.12913,31.29233
Mshingishingini Nazarene Clinic,-25.86526,31.36056
Ndvwabangeni Nazarene Clinic,-25.86591,31.58044
Ntfonjeni Clinic,-25.84148,31.33166
Peak Nazarene Clinic,-25.97722,31.24462
Pigg's Peak Government Hospital,-25.95797,31.248
Sigangeni Clinic,-26.35148,30.99309
Siphocosini Clinic,-26.39298,31.08906
Hhukwini Clinic,-26.33414,31.23503
Ndzingeni Nazarene Clinic,-26.01773,31.36603
